"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Poland","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","89,626,320",""
"Czech Republic","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","16,052,994",""
"Slovakia","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","0",""
"Hungary","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","1,496,199",""
"Romania","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","7,257,564",""
"Bulgaria","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","1,450,046",""
"Slovenia","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Croatia","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","1,930,175",""
"EU25TOTALS","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","1,735,614,348",""
"EU27TOTALS","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","1,744,321,959",""
"Cyprus","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","0",""
"France","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","1,762,000",""
"Netherlands","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Germany","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","139,882,146",""
"Italy","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","29,820,000",""
"United Kingdom","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","704,526",""
"Ireland","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Denmark","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","567,731",""
"Greece","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Portugal","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","100,420",""
